filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo2433	11	13	3	10	65	3	8	65	3	8	16	3	8	16	8	8	16	
grafo2438	18	24	7	18	120	7	15	120	-1	-1	-1	12	19	31	14	19	31	
grafo2439	12	14	3	11	70	3	8	70	3	8	17	3	8	17	8	8	16	
grafo244	20	26	7	19	130	7	17	130	-1	-1	-1	13	17	36	26	17	35	
grafo245	21	25	5	21	125	5	18	125	37	34	30	37	34	30	39	34	30	
grafo2450	14	17	4	13	85	4	10	85	4	10	20	4	10	20	10	10	20	
grafo2451	17	21	5	16	105	5	12	105	-1	-1	-1	10	12	27	18	13	26	
grafo2458	12	14	3	11	70	3	11	70	-1	-1	-1	5	11	18	11	11	17	
grafo246	11	13	3	10	65	3	10	65	3	10	16	3	10	16	10	10	16	
grafo2466	14	16	3	14	80	3	11	80	6	11	19	6	11	19	8	12	19	
grafo2468	15	20	6	15	100	6	8	100	7	9	27	7	9	27	8	9	27	
grafo247	15	18	4	15	90	4	11	90	8	12	23	8	12	23	17	16	22	
grafo2470	16	21	6	15	105	5	12	105	5	12	26	5	12	26	16	12	25	
grafo2473	22	27	6	22	135	5	14	135	29	26	31	29	26	31	29	26	31	
grafo2481	15	19	5	14	95	4	11	95	8	11	22	8	11	22	16	11	21	
grafo2484	17	20	4	16	100	4	12	100	4	12	24	4	12	24	18	12	24	
grafo2485	13	18	6	13	90	6	12	90	18	17	23	18	17	23	18	17	23	
grafo2488	13	15	3	12	75	3	9	75	3	9	18	3	9	18	11	9	18	
grafo2493	16	21	6	16	105	6	14	105	12	15	27	12	15	27	18	16	27	
grafo2505	13	15	3	12	75	3	12	75	3	12	18	3	12	18	20	12	18	
grafo2511	10	11	2	9	55	2	7	55	2	7	13	2	7	13	7	7	13	
grafo2513	24	31	8	23	155	8	14	155	-1	-1	-1	17	14	40	35	14	37	
grafo2518	13	15	3	12	75	3	11	75	3	11	18	3	11	18	13	13	17	
grafo252	12	13	2	11	65	2	8	65	2	8	14	2	8	14	9	8	14	
grafo2526	13	16	4	12	80	4	12	80	4	12	18	4	12	18	14	12	18	
grafo2527	14	18	5	13	90	5	13	90	-1	-1	-1	6	13	23	15	15	22	
grafo253	15	18	4	14	90	4	10	90	10	10	21	10	10	21	10	10	21	
grafo2532	14	18	5	13	90	4	8	90	-1	-1	-1	9	8	20	9	8	20	
grafo2533	18	21	4	17	105	4	17	105	-1	-1	-1	6	17	26	25	25	25	
grafo2534	22	27	6	22	135	6	15	135	-1	-1	-1	9	18	32	10	18	33	
grafo2537	16	21	6	15	105	6	14	105	12	14	27	12	14	27	27	14	27	
grafo2538	10	12	3	9	60	3	9	60	3	9	15	3	9	15	10	10	14	
grafo254	10	12	3	9	60	2	8	60	2	8	14	2	8	14	13	8	14	
grafo2553	18	21	4	17	105	3	16	105	3	16	24	3	16	24	16	16	24	
grafo256	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo2567	13	15	3	12	75	3	9	75	4	9	16	4	9	16	11	9	16	
grafo2568	15	18	4	14	90	4	14	90	5	14	21	5	14	21	16	14	21	
grafo2569	14	17	4	13	85	4	10	85	6	10	21	6	10	21	15	10	21	
grafo257	10	11	2	9	55	2	7	55	2	7	12	2	7	12	7	7	12	
grafo2575	13	15	3	12	75	3	9	75	3	9	18	3	9	18	11	9	18	
grafo2577	17	22	6	17	110	3	10	110	7	10	25	7	10	25	10	12	24	
grafo2578	34	40	7	33	200	7	25	200	7	25	48	7	25	48	43	25	46	
grafo258	13	15	3	12	75	3	12	75	3	12	18	3	12	18	12	12	18	
grafo2580	15	17	3	14	85	3	11	85	3	11	18	3	11	18	11	11	18	
grafo2582	27	32	6	28	160	6	17	160	34	32	38	34	32	38	39	35	37	
grafo2583	16	21	6	15	105	6	13	105	6	13	28	6	13	28	19	13	27	
grafo2585	16	19	4	15	95	4	13	95	4	13	23	4	13	23	19	13	21	
grafo2586	15	18	4	14	90	4	10	90	8	10	23	8	10	23	9	10	23	
grafo2588	24	31	8	24	155	7	16	155	-1	-1	-1	14	18	37	18	20	37	
grafo259	12	14	3	11	70	3	11	70	7	11	17	7	11	17	16	11	17	
grafo2590	14	16	3	13	80	3	11	80	3	11	17	3	11	17	12	11	17	
grafo2595	13	14	2	12	70	2	11	70	2	11	16	2	11	16	19	11	16	
grafo2597	15	20	6	14	100	5	10	100	-1	-1	-1	6	10	26	15	10	25	
grafo2599	13	19	7	12	95	6	11	95	6	11	29	6	11	29	29	11	24	
grafo260	14	17	4	13	85	4	13	85	4	13	21	4	13	21	13	13	20	
grafo2611	20	22	3	19	110	3	18	110	3	18	24	3	18	24	18	18	24	
grafo2613	15	18	4	14	90	3	11	90	8	11	21	8	11	21	16	11	21	
grafo2615	17	20	4	16	100	4	15	100	-1	-1	-1	6	15	24	15	15	23	
grafo262	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo2620	13	16	4	13	80	4	11	80	8	12	21	8	12	21	18	17	20	
grafo2625	14	18	5	14	90	4	10	90	8	11	21	8	11	21	8	11	21	
grafo263	11	13	3	11	65	3	11	65	7	11	16	7	11	16	8	12	16	
grafo2630	22	29	8	22	145	8	16	145	15	17	38	15	17	38	26	19	36	
grafo2632	19	23	5	18	115	5	13	115	5	13	28	5	13	28	13	13	27	
grafo2634	14	16	3	14	80	3	14	80	7	14	19	7	14	19	11	16	19	
grafo2637	21	27	7	20	135	5	15	135	11	15	31	11	15	31	13	15	31	
grafo2638	34	40	7	33	200	7	26	200	-1	-1	-1	27	26	46	35	26	46	
grafo2643	19	24	6	18	120	6	15	120	6	15	31	6	15	31	16	15	28	
grafo2648	27	33	7	26	165	7	19	165	-1	-1	-1	8	19	43	21	21	41	
grafo2651	12	16	5	11	80	4	10	80	-1	-1	-1	7	10	21	12	12	19	
grafo2659	13	17	5	12	85	5	10	85	5	10	22	5	10	22	11	11	22	
grafo266	13	16	4	12	80	4	10	80	8	10	22	8	10	22	20	10	20	
grafo2662	19	23	5	18	115	5	18	115	5	18	28	5	18	28	18	18	27	
grafo2663	12	15	4	11	75	4	11	75	8	11	19	8	11	19	16	11	19	
grafo2664	21	27	7	20	135	6	12	135	7	12	34	7	12	34	17	12	34	
grafo2665	12	14	3	11	70	3	10	70	3	10	16	3	10	16	11	10	16	
grafo267	11	13	3	10	65	3	6	65	5	6	15	5	6	15	6	6	15	
grafo2671	24	29	6	23	145	6	19	145	6	19	36	6	19	36	38	19	36	
grafo2677	21	27	7	20	135	7	18	135	13	18	36	13	18	36	35	21	34	
grafo2679	17	21	5	16	105	5	15	105	5	15	25	5	15	25	16	15	25	
grafo268	15	18	4	14	90	4	11	90	6	11	22	6	11	22	14	11	21	
grafo2683	13	17	5	12	85	5	10	85	-1	-1	-1	8	10	22	15	10	21	
grafo269	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo2697	16	20	5	15	100	5	12	100	5	12	25	5	12	25	20	12	26	
grafo2706	13	16	4	13	80	4	12	80	24	20	20	24	20	20	24	20	20	
grafo2714	11	13	3	11	65	3	8	65	3	8	16	3	8	16	8	10	16	
grafo2717	17	20	4	16	100	4	13	100	4	13	26	4	13	26	17	13	25	
grafo272	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo2720	14	18	5	14	90	5	12	90	23	22	23	23	22	23	32	22	22	
grafo2728	16	20	5	15	100	5	14	100	6	14	25	6	14	25	16	14	24	
grafo273	11	12	2	10	60	2	10	60	2	10	14	2	10	14	10	10	14	
grafo2730	15	18	4	15	90	4	13	90	26	24	22	26	24	22	26	24	22	
grafo2733	14	17	4	13	85	4	9	85	7	9	20	7	9	20	10	9	20	
grafo2736	16	19	4	15	95	4	11	95	4	11	21	4	11	21	11	11	20	
grafo2756	21	27	7	20	135	6	14	135	12	14	34	12	14	34	28	14	33	
grafo276	17	21	5	16	105	5	11	105	8	11	25	8	11	25	18	11	25	
grafo2767	20	25	6	19	125	5	13	125	5	13	30	5	13	30	14	13	28	
grafo277	13	16	4	12	80	4	10	80	4	10	20	4	10	20	13	10	20	
grafo2772	14	16	3	13	80	3	7	80	6	7	19	6	7	19	7	7	19	
grafo2775	25	29	5	25	145	5	15	145	10	16	34	10	16	34	13	17	34	
grafo2782	17	21	5	16	105	4	10	105	4	10	27	4	10	27	22	10	25	
grafo2785	14	18	5	13	90	5	11	90	9	11	23	9	11	23	16	11	22	
grafo2790	16	20	5	15	100	4	12	100	-1	-1	-1	5	12	25	17	12	23	
grafo2791	15	18	4	15	90	4	12	90	9	12	21	9	12	21	10	13	21	
grafo2793	21	24	4	20	120	4	16	120	11	16	27	11	16	27	14	16	27	
grafo2803	14	18	5	13	90	5	12	90	5	12	22	5	12	22	13	12	22	
grafo281	14	17	4	13	85	4	13	85	10	13	20	10	13	20	19	13	20	
grafo2810	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo2817	15	19	5	15	95	5	13	95	28	24	24	28	24	24	28	24	24	
grafo2820	14	18	5	14	90	5	10	90	5	11	26	5	11	26	13	14	23	
grafo2825	18	22	5	17	110	5	11	110	5	11	28	5	11	28	17	11	26	
grafo2829	17	21	5	16	105	5	14	105	10	14	25	10	14	25	20	14	25	
grafo283	24	30	7	23	150	7	18	150	-1	-1	-1	15	18	38	41	25	37	
grafo2830	14	17	4	13	85	3	10	85	7	10	20	7	10	20	9	10	21	
grafo2837	25	30	6	24	150	6	20	150	6	20	37	6	20	37	30	20	36	
grafo2842	13	15	3	12	75	3	9	75	3	9	18	3	9	18	11	9	18	
grafo2850	14	18	5	13	90	5	8	90	8	8	24	8	8	24	12	8	23	
grafo2856	16	20	5	16	100	5	11	100	5	12	24	5	12	24	9	14	24	
grafo2857	27	34	8	26	170	6	18	170	6	18	40	6	18	40	28	18	38	
grafo2858	19	24	6	19	120	5	13	120	10	14	30	10	14	30	17	18	29	
grafo2861	16	19	4	16	95	4	13	95	6	14	23	6	14	23	9	15	23	
grafo2871	17	20	4	17	100	4	10	100	8	10	25	8	10	25	16	12	25	
grafo2874	50	60	11	50	300	10	29	300	59	56	72	59	56	72	83	66	72	
grafo288	15	19	5	14	95	5	12	95	-1	-1	-1	11	12	25	19	12	24	
grafo2882	17	19	3	16	95	3	15	95	3	15	21	3	15	21	15	15	21	
grafo2883	15	18	4	14	90	3	10	90	3	10	21	3	10	21	15	10	20	
grafo2889	18	23	6	18	115	6	14	115	12	16	30	12	16	30	15	17	30	
grafo2893	16	20	5	16	100	3	12	100	3	12	22	3	12	22	11	16	22	
grafo2896	10	11	2	9	55	2	9	55	2	9	13	2	9	13	9	9	13	
grafo290	18	22	5	17	110	5	13	110	11	13	29	11	13	29	22	13	28	
grafo2900	14	16	3	13	80	3	11	80	3	11	18	3	11	18	12	11	18	
grafo2908	13	15	3	12	75	3	9	75	7	9	18	7	9	18	9	9	18	
grafo291	20	24	5	19	120	4	13	120	4	13	29	4	13	29	18	13	27	
grafo2919	14	17	4	14	85	4	12	85	4	13	22	4	13	22	18	16	21	
grafo2923	24	28	5	23	140	5	16	140	12	16	34	12	16	34	16	16	34	
grafo2926	14	16	3	13	80	3	12	80	3	12	19	3	12	19	12	12	19	
grafo2928	15	19	5	16	95	5	10	95	17	18	26	17	18	26	23	22	25	
grafo2936	12	14	3	11	70	3	8	70	6	8	16	6	8	16	9	8	16	
grafo2938	12	14	3	11	70	3	8	70	6	8	17	6	8	17	8	8	16	
grafo294	21	25	5	20	125	4	17	125	12	17	29	12	17	29	20	17	28	
grafo2943	21	26	6	20	130	5	12	130	10	12	32	10	12	32	16	12	32	
grafo2949	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo2953	11	14	4	10	70	4	8	70	4	8	18	4	8	18	10	10	16	
grafo2966	23	29	7	22	145	7	21	145	15	21	37	15	21	37	34	21	36	
grafo2987	17	21	5	16	105	4	9	105	8	9	26	8	9	26	12	9	25	
grafo2989	20	26	7	19	130	5	16	130	5	16	31	5	16	31	19	19	30	
grafo299	19	23	5	18	115	4	12	115	4	12	27	4	12	27	13	12	26	
grafo2992	26	33	8	25	165	8	23	165	17	23	41	17	23	41	33	23	40	
grafo2995	20	27	8	19	135	8	17	135	-1	-1	-1	13	17	37	20	20	35	
grafo2998	18	24	7	17	120	6	11	120	9	11	31	9	11	31	12	11	30	
grafo2999	26	33	8	26	165	7	14	165	12	16	42	12	16	42	19	19	39	
grafo300	13	17	5	12	85	4	11	85	4	11	23	4	11	23	19	11	21	
grafo302	17	21	5	16	105	4	12	105	4	12	25	4	12	25	12	12	26	
grafo3024	10	12	3	9	60	3	7	60	3	7	14	3	7	14	7	7	14	
grafo3025	27	36	10	27	180	7	14	180	28	26	42	28	26	42	28	26	42	
grafo303	11	13	3	10	65	3	8	65	6	8	16	6	8	16	9	8	16	
grafo3031	16	20	5	16	100	5	15	100	5	15	25	5	15	25	20	21	25	
grafo304	15	19	5	14	95	4	12	95	4	12	25	4	12	25	12	12	23	
grafo3050	36	47	12	35	235	8	27	235	-1	-1	-1	20	27	54	45	27	52	
grafo3053	42	53	12	42	265	12	32	265	12	33	69	12	33	69	53	45	69	
grafo307	13	15	3	12	75	3	10	75	3	10	17	3	10	17	12	10	17	
grafo3071	23	28	6	22	140	6	16	140	-1	-1	-1	13	16	34	23	16	33	
grafo3080	43	51	9	42	255	8	35	255	25	35	59	32	35	59	41	35	60	
grafo3081	23	28	6	23	140	5	19	140	37	36	31	37	36	31	37	36	31	
grafo3092	24	31	8	23	155	6	14	155	16	14	37	16	14	37	20	14	37	
grafo3097	11	15	5	10	75	5	9	75	10	9	20	10	9	20	11	9	20	
grafo313	11	12	2	10	60	2	10	60	2	10	14	2	10	14	10	10	14	
grafo314	18	21	4	18	105	4	12	105	18	17	25	18	17	25	20	19	25	
grafo315	14	18	5	13	90	5	13	90	5	13	23	5	13	23	13	13	23	
grafo316	11	15	5	10	75	5	10	75	5	10	22	5	10	22	25	11	20	
grafo321	15	18	4	14	90	4	10	90	11	10	21	11	10	21	13	10	22	
grafo322	16	18	3	15	90	3	8	90	6	8	19	6	8	19	6	8	19	
grafo3223	39	48	10	38	240	10	20	240	10	20	57	10	20	57	33	20	56	
grafo324	11	13	3	10	65	3	9	65	3	9	15	3	9	15	9	9	15	
grafo327	10	12	3	9	60	3	8	60	3	8	16	3	8	16	14	8	15	
grafo329	17	21	5	16	105	4	13	105	4	13	26	4	13	26	16	14	25	
grafo330	15	19	5	14	95	5	14	95	5	14	23	5	14	23	15	14	23	
grafo334	12	14	3	11	70	3	8	70	3	8	16	3	8	16	9	8	15	
grafo3349	47	57	11	46	285	10	30	285	10	30	67	10	30	67	46	30	66	
grafo336	21	25	5	20	125	4	15	125	4	15	29	4	15	29	15	15	28	
grafo338	15	18	4	14	90	3	9	90	7	9	21	7	9	21	8	9	21	
grafo339	18	20	3	17	100	3	15	100	-1	-1	-1	4	15	23	17	15	22	
grafo340	15	18	4	14	90	4	13	90	4	13	23	4	13	23	24	13	22	
grafo343	14	18	5	14	90	5	11	90	9	12	23	9	12	23	13	14	22	
grafo345	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo3457	38	49	12	38	245	11	24	245	-1	-1	-1	21	30	62	44	39	62	
grafo346	19	24	6	18	120	5	12	120	10	12	29	10	12	29	16	12	28	
grafo347	13	14	2	12	70	2	9	70	2	9	15	2	9	15	10	9	15	
grafo3480	35	41	7	34	205	7	21	205	7	21	48	7	21	48	40	21	48	
grafo349	13	16	4	12	80	4	10	80	4	10	20	4	10	20	16	10	20	
grafo351	13	17	5	12	85	5	12	85	-1	-1	-1	8	13	23	18	16	23	
grafo352	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo354	12	13	2	11	65	2	10	65	2	10	15	2	10	15	10	10	15	
grafo3547	37	43	7	36	215	7	23	215	15	23	49	15	23	49	33	23	49	
grafo355	14	16	3	13	80	3	10	80	3	10	19	3	10	19	13	10	19	
grafo356	19	24	6	18	120	5	14	120	5	14	31	5	14	31	27	14	29	
grafo361	13	16	4	12	80	4	8	80	4	8	21	4	8	21	11	8	19	
grafo362	19	23	5	18	115	5	15	115	5	15	26	5	15	26	16	15	26	
grafo3627	37	43	7	36	215	7	21	215	7	21	49	7	21	49	27	21	48	
grafo363	10	12	3	10	60	3	7	60	3	7	13	3	7	13	3	7	13	
grafo364	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo366	16	19	4	15	95	4	11	95	4	11	26	4	11	26	28	12	23	
grafo367	14	17	4	14	85	4	11	85	4	11	21	4	11	21	10	14	21	
grafo368	11	15	5	10	75	5	9	75	-1	-1	-1	9	9	21	16	11	19	
grafo371	14	15	2	13	75	2	13	75	2	13	17	2	13	17	13	13	17	
grafo375	17	21	5	16	105	5	16	105	5	16	26	5	16	26	27	16	25	
grafo382	15	19	5	14	95	5	14	95	5	14	24	5	14	24	19	14	24	
grafo383	12	15	4	12	75	3	10	75	7	10	19	7	10	19	8	11	17	
grafo387	13	16	4	12	80	4	10	80	-1	-1	-1	5	10	20	12	12	18	
grafo388	13	16	4	12	80	4	10	80	4	10	20	4	10	20	16	10	19	
grafo390	13	15	3	12	75	3	8	75	6	8	17	6	8	17	8	8	18	
grafo396	15	19	5	14	95	5	11	95	5	11	24	5	11	24	19	11	24	
grafo397	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo399	15	19	5	14	95	5	14	95	-1	-1	-1	14	14	25	30	20	24	
grafo400	16	19	4	15	95	4	12	95	4	12	24	4	12	24	21	12	23	
grafo401	11	15	5	11	75	4	8	75	7	8	18	7	8	18	9	9	18	
grafo403	14	17	4	14	85	4	11	85	7	12	22	7	12	22	9	13	22	
grafo404	12	15	4	11	75	4	7	75	-1	-1	-1	8	7	17	8	7	17	
grafo406	13	16	4	12	80	4	9	80	6	9	19	6	9	19	12	9	18	
grafo408	11	13	3	11	65	3	10	65	3	10	15	3	10	15	9	13	15	
grafo409	19	25	7	18	125	6	13	125	-1	-1	-1	8	13	31	24	13	29	
grafo4099	39	46	8	38	230	8	29	230	22	29	54	22	29	54	48	29	52	
grafo410	14	18	5	13	90	4	12	90	4	12	22	4	12	22	19	12	22	
grafo413	20	26	7	19	130	7	15	130	10	15	36	10	15	36	25	15	32	
grafo414	14	17	4	13	85	4	10	85	6	10	21	6	10	21	13	10	21	
grafo416	18	21	4	17	105	4	11	105	4	11	26	4	11	26	12	11	27	
grafo417	13	15	3	12	75	3	10	75	9	10	18	9	10	18	10	10	18	
grafo419	15	20	6	14	100	6	13	100	12	13	24	12	13	24	17	13	23	
grafo422	17	20	4	16	100	4	10	100	4	10	25	4	10	25	10	10	23	
grafo423	19	24	6	18	120	6	13	120	-1	-1	-1	7	13	31	20	13	29	
grafo425	13	16	4	12	80	4	8	80	4	8	21	4	8	21	8	8	20	
grafo426	19	24	6	18	120	5	12	120	10	12	29	10	12	29	13	12	28	
grafo430	13	15	3	12	75	3	12	75	3	12	18	3	12	18	12	12	18	
grafo431	13	16	4	13	80	4	8	80	7	9	21	7	9	21	8	9	19	
grafo432	19	24	6	19	120	6	15	120	11	16	33	11	16	33	22	18	32	
grafo436	12	15	4	11	75	4	10	75	4	10	20	4	10	20	12	12	19	
grafo437	12	15	4	12	75	4	12	75	9	13	19	9	13	19	10	13	19	
grafo439	11	16	6	11	80	5	6	80	7	7	21	7	7	21	8	8	21	
grafo440	13	16	4	12	80	4	11	80	4	11	20	4	11	20	18	11	20	
grafo441	11	12	2	10	60	2	8	60	2	8	13	2	8	13	9	8	13	
grafo443	13	16	4	13	80	3	9	80	18	16	19	18	16	19	18	16	18	
grafo447	14	17	4	13	85	4	10	85	7	10	21	7	10	21	9	10	21	
grafo448	11	12	2	10	60	2	9	60	2	9	14	2	9	14	9	9	14	
grafo452	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo454	17	21	5	16	105	4	12	105	9	12	24	9	12	24	12	12	24	
grafo455	10	11	2	9	55	2	8	55	2	8	13	2	8	13	8	8	13	
grafo457	12	15	4	11	75	3	9	75	3	9	18	3	9	18	10	10	17	
grafo459	17	22	6	16	110	6	10	110	6	10	28	6	10	28	16	10	28	
grafo472	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo476	19	21	3	18	105	3	18	105	3	18	24	3	18	24	18	18	24	
grafo477	13	15	3	12	75	3	10	75	3	10	18	3	10	18	15	10	18	
grafo480	15	18	4	14	90	4	13	90	9	13	22	9	13	22	19	13	21	
grafo492	18	22	5	17	110	5	12	110	9	12	27	9	12	27	17	12	27	
grafo493	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo494	13	18	6	12	90	5	10	90	5	10	26	5	10	26	15	10	23	
grafo495	20	24	5	19	120	5	15	120	11	15	31	11	15	31	19	15	29	
grafo497	15	19	5	15	95	5	14	95	10	15	23	10	15	23	26	23	23	
grafo501	13	14	2	12	70	2	12	70	2	12	16	2	12	16	13	13	16	
grafo505	13	15	3	12	75	3	9	75	4	9	17	4	9	17	11	9	17	
grafo507	24	28	5	24	140	4	15	140	4	15	33	4	15	33	7	17	33	
grafo508	20	24	5	19	120	4	15	120	4	15	29	4	15	29	22	15	27	
grafo510	13	18	6	13	90	6	13	90	22	20	26	22	20	26	28	26	25	
grafo511	13	15	3	12	75	3	12	75	3	12	18	3	12	18	14	14	19	
grafo512	16	19	4	15	95	4	12	95	4	12	22	4	12	22	13	13	23	
grafo514	13	15	3	12	75	3	9	75	3	9	18	3	9	18	9	9	18	
grafo5148	34	42	9	33	210	9	19	210	9	19	51	9	19	51	22	19	52	
grafo515	11	13	3	10	65	3	10	65	7	10	16	7	10	16	12	10	16	
grafo5182	33	40	8	32	200	7	25	200	-1	-1	-1	9	25	47	25	25	45	
grafo5215	39	48	10	39	240	9	27	240	53	52	55	53	52	55	74	52	56	
grafo5236	38	47	10	37	235	9	26	235	21	26	59	21	26	59	50	26	56	
grafo524	14	18	5	13	90	5	9	90	5	9	26	5	9	26	17	11	23	
grafo5247	33	40	8	32	200	7	26	200	-1	-1	-1	24	26	50	67	29	47	
grafo526	12	16	5	11	80	4	9	80	8	9	20	8	9	20	11	9	18	
grafo5264	36	46	11	35	230	10	22	230	20	22	59	20	22	59	37	22	57	
grafo527	17	23	7	16	115	5	13	115	11	13	30	11	13	30	22	13	28	
grafo5289	37	45	9	36	225	7	27	225	7	27	54	7	27	54	42	27	53	
grafo5291	37	48	12	36	240	11	27	240	11	27	61	11	27	61	66	27	60	
grafo5295	36	45	10	35	225	9	23	225	19	23	53	19	23	53	46	23	51	
grafo530	13	16	4	12	80	4	10	80	-1	-1	-1	5	10	21	17	10	21	
grafo5314	38	46	9	37	230	9	20	230	18	20	57	18	20	57	50	20	56	
grafo532	11	13	3	11	65	3	10	65	7	10	15	7	10	15	7	10	15	
grafo533	11	13	3	11	65	3	11	65	7	11	16	7	11	16	12	14	16	
grafo534	15	17	3	14	85	3	14	85	8	14	20	8	14	20	20	14	20	
grafo536	14	17	4	13	85	4	12	85	9	12	20	9	12	20	11	12	20	
grafo538	18	21	4	17	105	4	14	105	4	14	25	4	14	25	14	14	25	
grafo5399	35	40	6	35	200	6	28	200	18	30	44	18	30	44	30	36	44	
grafo540	16	19	4	15	95	4	12	95	4	12	24	4	12	24	21	12	23	
grafo541	10	12	3	9	60	3	7	60	3	7	16	3	7	16	7	7	15	
grafo5419	35	44	10	34	220	9	16	220	15	16	53	15	16	53	27	16	52	
grafo543	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo546	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo547	16	18	3	15	90	3	11	90	8	11	22	8	11	22	19	11	21	
grafo548	13	14	2	12	70	2	12	70	4	12	15	4	12	15	15	12	15	
grafo5487	36	44	9	35	220	8	22	220	18	22	51	18	22	51	22	22	51	
grafo550	15	21	7	15	105	5	12	105	16	16	26	16	16	26	16	16	24	
grafo5512	35	45	11	34	225	9	23	225	-1	-1	-1	18	23	58	50	23	56	
grafo552	27	33	7	27	165	7	22	165	51	41	39	51	41	39	51	41	39	
grafo553	16	19	4	16	95	4	11	95	4	12	24	4	12	24	11	13	23	
grafo5547	33	43	11	33	215	10	23	215	20	27	57	20	27	57	62	48	54	
grafo556	15	20	6	15	100	5	12	100	10	13	25	10	13	25	15	14	25	
grafo5561	36	42	7	35	210	7	25	210	7	25	47	7	25	47	32	32	46	
grafo557	11	13	3	10	65	3	9	65	3	9	16	3	9	16	9	9	16	
grafo5574	35	42	8	34	210	8	25	210	8	25	53	8	25	53	37	25	51	
grafo559	13	17	5	12	85	5	10	85	7	10	21	7	10	21	13	10	21	
grafo5609	35	46	12	34	230	10	19	230	10	19	58	10	19	58	41	23	59	
grafo5646	33	40	8	33	200	8	21	200	42	40	49	42	40	49	57	40	47	
grafo5649	40	49	10	39	245	9	33	245	31	33	59	31	33	59	39	33	59	
grafo565	17	21	5	16	105	4	12	105	9	12	24	9	12	24	12	12	24	
grafo5667	36	45	10	36	225	7	27	225	19	29	54	19	29	54	55	47	52	
grafo567	14	19	6	13	95	6	13	95	9	13	25	9	13	25	18	13	24	
grafo5670	37	44	8	36	220	8	34	220	-1	-1	-1	15	34	53	58	34	53	
grafo568	20	24	5	19	120	5	14	120	5	14	30	5	14	30	21	14	29	
grafo571	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo5712	36	46	11	35	230	10	26	230	-1	-1	-1	18	26	57	46	43	55	
grafo572	17	20	4	16	100	4	12	100	4	12	25	4	12	25	20	12	24	
grafo5737	34	41	8	33	205	7	20	205	23	20	48	23	20	48	29	20	47	
grafo576	12	16	5	11	80	5	9	80	8	9	19	8	9	19	8	9	19	
grafo577	13	16	4	12	80	4	10	80	5	10	19	5	10	19	12	10	19	
grafo5770	33	42	10	32	210	10	29	210	-1	-1	-1	31	29	53	43	29	53	
grafo5815	34	44	11	33	220	10	21	220	20	21	54	20	21	54	33	21	55	
grafo5816	33	40	8	32	200	7	24	200	18	24	50	18	24	50	34	24	48	
grafo582	15	18	4	14	90	4	8	90	4	8	23	4	8	23	9	8	21	
grafo5847	35	43	9	34	215	7	22	215	-1	-1	-1	22	22	52	33	22	50	
grafo585	15	19	5	14	95	5	11	95	9	11	23	9	11	23	11	11	23	
grafo5865	36	47	12	35	235	10	20	235	10	20	62	10	20	62	32	20	59	
grafo5883	36	44	9	35	220	9	30	220	9	30	54	9	30	54	31	31	55	
grafo589	12	15	4	11	75	4	10	75	-1	-1	-1	5	10	20	10	10	19	
grafo5906	34	42	9	33	210	8	19	210	15	19	47	15	19	47	27	19	47	
grafo592	14	16	3	13	80	3	13	80	-1	-1	-1	6	13	20	13	13	19	
grafo5939	33	43	11	33	215	10	23	215	-1	-1	-1	24	29	55	32	33	55	
grafo594	11	13	3	10	65	3	9	65	3	9	15	3	9	15	10	9	15	
grafo595	13	17	5	13	85	5	12	85	24	22	21	24	22	21	24	22	21	
grafo596	14	18	5	14	90	4	11	90	8	11	23	8	11	23	14	13	21	
grafo599	18	22	5	17	110	5	15	110	-1	-1	-1	10	15	29	36	20	27	
grafo5994	33	40	8	33	200	8	26	200	27	26	49	27	26	49	39	29	49	
grafo600	19	24	6	18	120	6	17	120	14	17	30	14	17	30	25	17	30	
grafo601	19	24	6	18	120	4	12	120	4	12	28	4	12	28	18	12	28	
