filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo1121	17	22	6	16	110	5	14	110	15	14	27	15	14	27	18	14	27	
grafo1122	17	21	5	16	105	4	12	105	9	12	24	9	12	24	12	12	24	
grafo1124	15	19	5	14	95	5	14	95	-1	-1	-1	14	14	25	30	20	24	
grafo11277	34	41	8	33	205	7	19	205	16	19	49	16	19	49	28	19	48	
grafo1128	11	13	3	10	65	3	9	65	5	9	15	5	9	15	12	9	15	
grafo11293	33	40	8	33	200	7	19	200	15	21	48	15	21	48	30	29	47	
grafo11310	35	42	8	34	210	8	24	210	-1	-1	-1	14	26	51	26	26	50	
grafo1132	19	22	4	18	110	4	18	110	-1	-1	-1	15	18	27	29	20	26	
grafo11328	32	40	9	31	200	9	22	200	19	22	48	19	22	48	42	22	46	
grafo1134	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo1136	15	20	6	15	100	5	11	100	5	12	24	5	12	24	8	14	24	
grafo11360	32	39	8	31	195	8	25	195	20	25	48	20	25	48	33	25	47	
grafo1137	10	12	3	10	60	3	10	60	4	10	14	4	10	14	10	13	14	
grafo1138	15	18	4	14	90	4	12	90	4	12	21	4	12	21	13	12	21	
grafo11382	33	40	8	32	200	6	17	200	13	17	43	13	17	43	14	17	43	
grafo11384	30	35	6	29	175	6	24	175	17	24	40	17	24	40	27	24	40	
grafo1139	15	17	3	14	85	3	12	85	4	12	20	4	12	20	14	12	19	
grafo11401	33	43	11	32	215	8	16	215	15	16	52	15	16	52	25	16	51	
grafo11409	34	40	7	33	200	7	21	200	17	21	47	17	21	47	24	21	47	
grafo11426	33	40	8	33	200	7	28	200	20	30	47	20	30	47	45	43	47	
grafo1143	18	22	5	17	110	5	15	110	12	15	27	12	15	27	22	15	27	
grafo11451	32	37	6	31	185	6	26	185	6	26	44	6	26	44	31	26	43	
grafo11463	33	41	9	32	205	9	29	205	-1	-1	-1	37	29	53	89	41	50	
grafo1147	18	22	5	18	110	4	14	110	10	15	26	10	15	26	13	16	26	
grafo11476	32	39	8	31	195	8	24	195	10	24	47	10	24	47	26	24	46	
grafo1153	21	26	6	20	130	6	13	130	6	13	34	6	13	34	18	13	33	
grafo1155	11	13	3	10	65	3	9	65	3	9	16	3	9	16	9	9	16	
grafo11559	31	39	9	30	195	8	28	195	8	28	46	8	28	46	29	28	47	
grafo1156	14	17	4	13	85	3	12	85	3	12	20	3	12	20	20	12	20	
grafo11596	34	42	9	33	210	8	26	210	8	26	53	8	26	53	33	26	52	
grafo1162	11	13	3	10	65	3	9	65	3	9	16	3	9	16	9	9	16	
grafo1166	11	14	4	11	70	4	9	70	4	10	17	4	10	17	8	12	16	
grafo11667	30	36	7	29	180	7	26	180	-1	-1	-1	12	26	43	31	31	42	
grafo1168	24	29	6	23	145	5	16	145	5	16	36	5	16	36	23	16	34	
grafo1169	18	22	5	18	110	5	10	110	20	18	27	20	18	27	20	18	27	
grafo117	20	24	5	19	120	5	13	120	7	13	29	7	13	29	20	13	29	
grafo1170	27	32	6	26	160	6	19	160	6	19	38	6	19	38	19	19	36	
grafo1171	22	28	7	21	140	7	20	140	7	20	36	7	20	36	30	21	35	
grafo1175	19	24	6	19	120	6	13	120	-1	-1	-1	-1	-1	-1	34	24	32	
grafo1176	11	14	4	11	70	4	10	70	8	10	18	8	10	18	11	11	18	
grafo1179	17	21	5	16	105	5	14	105	-1	-1	-1	9	15	26	21	21	25	
grafo1184	25	30	6	24	150	5	17	150	5	17	36	5	17	36	17	17	35	
grafo1198	29	33	5	28	165	5	14	165	10	14	38	10	14	38	10	14	38	
grafo120	40	48	9	39	240	9	31	240	-1	-1	-1	23	31	60	120	82	59	
grafo1263	25	31	7	25	155	6	17	155	33	32	38	33	32	38	36	32	37	
grafo1266	23	27	5	23	135	4	19	135	12	19	31	12	19	31	16	20	31	
grafo127	21	24	4	21	120	4	17	120	4	18	26	4	18	26	8	20	26	
grafo1325	24	28	5	23	140	5	21	140	14	21	32	14	21	32	28	21	32	
grafo133	16	20	5	15	100	4	10	100	-1	-1	-1	6	10	23	16	10	22	
grafo1373	27	34	8	28	170	8	17	170	31	34	43	31	34	43	44	42	41	
grafo139	24	31	8	23	155	7	17	155	8	17	38	8	17	38	24	17	36	
grafo1397	26	32	7	26	160	6	20	160	-1	-1	-1	16	21	39	24	23	39	
grafo140	22	27	6	21	135	5	15	135	12	15	32	12	15	32	13	15	32	
grafo1422	22	25	4	22	125	4	16	125	11	16	28	11	16	28	12	16	28	
grafo144	12	15	4	11	75	4	9	75	9	9	18	9	9	18	11	9	17	
